file,abstract,introduction,conclusion
PMC29012_plagiated.xml,"aspiration of gastric, finding was correct, gastric contents, contents still occurs, semirecumbent position, gastrinary aspartam inciprance","treat gastric ulceration, ulceration, irenal ulceration, class of drugs, developed to treat, cisapride","mechanically ventilated patients, gastric contents aspiration, semirecumbent position, found that cisapride, cisapride reduces, reduces the risk"
PMC29014_plagiated.xml,"adverse clinical effects, administer incompatible solutions, clinical effects, triple-lumen catheter, order to administer, administer incompatible","separate container, port closed, port, central venous catheter, drug, closed","phenytoin and TPN, incompatible solutions, including phenytoin, port distance, study examined, distal and medial"
PMC29016_plagiated.xml,"severe methacholine-induced bronchospasm, improved pulmonary mechanics, demonstrated improved pulmonary, gas flow, Pediatric porcine models, pulmonary mechanics","model of icterus, pediatric porcine model, SIB, pulmonary mechanics, icterus induced severe, model","lung mechanical ventilation, severe methacholine-induced bronchospasm, pediatric porcine model, independent lung mechanical, mechanical ventilation, ventilator setting"
PMC29017_plagiated.xml,"mortality rate, low SVR, low serum creatinine, SVR is present, septic patients, SVR","systemic vascular resistance, low-density lipoprotein cholesterol, low systemic vascular, lipoprotein cholesterol, vascular resistance, high prevalence","non-septic patents, SVR lower, equivalent mortality, SVR, summarize, patients"
PMC29028_plagiated.xml,"current study model, represent the intra, current study, study model, accurately represent, abdominal cavity pressures","abdominal compartment syndrome, compartment syndrome, abdominal compartment, study, ACS, prospective study","reflect actual IAP, account for ICP, actual IAP, current model, reflect actual, ICP"
PMC29030_plagiated.xml,"prophylaxis differ greatly, stress ulcer prophylaxis, ulcer prophylaxis differ, consult published literature, Prescription practices, differ greatly","irritable bowel syndrome, severe stress ulcers, stress ulcer prophylaxis, stress ulcers, ulcers, Introduction The primary","prophylaxis differ widely, proton pump inhibitors, stress ulcer prophylaxis, ulcer prophylaxis differ, generally most ICU, ICU patients"
PMC29031_plagiated.xml,"blood product consumption, true causal relationship, current study proposes, thomphomocytopenic syndrome, found with thrombocytopenia, product consumption","rare condition, condition that affects, affects approximately, high risk, United Kingdom, Thrombocytopenia","initial illness severity, blood product consumption, significant economic burden, excessive blood product, independent of age, illness severity"
PMC29044_plagiated.xml,"left sylvian artery, auto-immune Guillain-Barrè syndrome, isolated vasculitis, sylvian artery, Guillain-Barrè syndrome, authors describe","central nervous system, central nervous system-associated, progressive neurological disorder, central nervous, neurological disorder characterized, nervous system","varying clinical manifestations, Vascular dysfunction, vascular system, tissue ischaemia, clinical manifestations, varying clinical"
PMC29046_plagiated.xml,"bacterial culture, degree of precision, detect pathogens, pathogens more quickly, high degree, culture","wound biopsy samples, Pseudomonas aeruginosa, Pseudomonas aeruginosa isolated, biopsy samples, wound biopsy, burn wound biopsy","detect food-borne pathogens, genetic diseases, infectious diseases, utilized to detect, detect food-borne, diseases"
PMC29048_plagiated.xml,"southeast Anatolia region, region of Turkey, southeast Anatolia, Anatolia region, significant concern, concern for tourists","Introduction Spontaneous rupture, Introduction Spontaneous, parasitic infection, Spontaneous rupture, South Africa, SPS","formation and rupture, spleen structure, result in asymptomatic, asymptomatic enlargement, enlargement or complications, haematoma formation"
PMC29057_plagiated.xml,"findings strongly support, DNA hemicatenane, DNA duplexes, hypothesis of Form, findings strongly, strongly support","semicatenated DNA junctions, DNA junctions DNA, DNA loops, DNA, semicatenated DNA, junctions DNA loops","semicatenated DNA junction, structure called Form, involving DNA hemicatenanes, DNA structure called, structures involving DNA, polyacrylamide gel electrophoresis"
PMC29058_plagiated.xml,"protein kinase, vaccinia virus, providing further insight, enzyme substrate-specificity, substrate-specificity in contrast, phosphorylation site","including measles, infectious diseases, types of infectious, virus, Vaccinia virus, MMR","phosphorylates virus, Remarkable conclusions, conclusions In vitro, virus protein kinase, Vaccinia virus protein, Vaccinia virus"
PMC29059_plagiated.xml,"gels through visualisation, fresh technique, devised to exhibit, exhibit the activity, activity of aryl, aryl acylamidase","sweat glands, glands and skin, red blood cells, involved, Aryl acylamidase, AAA activity","individual AAA Activity, AAA activity, polyacrylamide gels, activity of ChEs, technique for visualizing, ChEs in polyacrylamide"
PMC29061_plagiated.xml,"ADDITIONAL INFORMATION, ADDITIONAL, INFORMATION","Introduction Escherichia coli, hospital-acquired infections, types of bacteria, urinary tract infections, infections, Escherichia coli","condition dependent phenotype, central metabolism gene, gene deletion strains, metabolism gene deletion, Remarkable conclusions, silico representation"
PMC29062_plagiated.xml,"fibers and advancing, retracting or stable, stable filopodia, paralleled the rapid, cytoskeleton in microextensions, fact that shape","protein binding domain, number of approaches, including Parkinson disease, binding domain, express Moesin-binding protein, ACTN","Remarkable conclusions, regions of live, conclusions A pattern, pattern of actin, actin microfilaments, microfilaments is observed"
PMC29063_plagiated.xml,"reporter and SRE, suggesting that SRP, signaling by Ras, c-fos SRS, SRS in response, act as synchronized","c-fos response element, catecholamine found, catecholamine receptor, c-fos, major catecholamines, Introduction c-fos","activating Ras-dependent signaling, Ras-dependent signaling pathways, c-fos SRE response, activating Ras-dependent, Ras-dependent signaling, c-fos SRE"
PMC29065_plagiated.xml,"hepatic stellate cells, results suggest, hepatic stellate, stellate cells, cellular targets, optimized to provide","gene delivery devices, gene delivery systems, gene delivery, delivery devices, delivery, delivery systems","achieving high efficiency, Remarkable conclusions, confirms the effectiveness, effectiveness of adenoviral-based, adenoviral-based techniques, delivery to cultured"
PMC29066_plagiated.xml,"cells in vitro, leading to morphological, cardioprotective substance, resveratrol interacts, interacts with endothelial, endothelial cells","stress' Rice University, shear stress' Rice, Rice University, bovine pulmonary artery, pulmonary artery endothelial, artery endothelial cells","endothelial cells react, Remarkable conclusions, functional modifications, evidence presented, react with resveratrol, resveratrol in vitro"
PMC29067_plagiated.xml,"established with membranes, vascular-glial interface, forebrain, suggesting, dystroglycan, link","function of utrophins, muscle dystrophy, major issue, persistent expression, consequent loss, loss of function","Remarkable conclusions, forebrain region, cells and glia, conclusions This report, found at high, high concentrations"
PMC29068_plagiated.xml,"mouse model undergoing, levels of estrogen, results provide, provide further insight, structure and function, function of osteoclasts","bone marrow precursor, bone marrow, marrow precursor cells, Osteoclast-like structures, marrow precursor, bone","mouse model undergoing, Remarkable conclusions, levels of estrogen, conclusions The results, results provide, provide further insight"
PMC29073_plagiated.xml,"bacterial protein family, insect retrovirus-like elements, envelope fusion proteins, retrovirus-like elements, elements and bacterial, envelope fusion","contact with contaminated, Environment Reporting Network, spread through contact, contact, contaminated food, contaminated","gypsy retrovirus-like elements, showing significant correlation, low pH-dependent baculoviruses, fusion proteins related, envelope fusion proteins, Remarkable conclusions"
PMC29077_plagiated.xml,"drive germ-line transgene, germ-line transgene expression, restricted to specific, specific types, drive germ-line, germ-line transgene","fiber types, skeletal muscle, mouse skeletal muscle, drives variable gene, expression, muscle","drive germ-line transgene, germ-line transgene expression, major skeletal muscle, skeletal muscle fiber, muscle fiber types, restricted to specific"
PMC29079_plagiated.xml,"undergo nuclear sequestration, nuclear sequestration, growth and division, Eukaryotic cells, undergo nuclear, form of protein","Podospora anserina strain, Saccharomyces cerevisiae strain, functional ribosomes, protein synthesis, synthesis and degradation, extensively studied","cell cycle progression, recent data show, regulate cell cycle, receptor receptor expressed, Remarkable conclusions, release of calcium"
PMC29080_plagiated.xml,"families of FMR, isoforms exhibit, FMR proteins, exhibit a distinct, distinct pattern, pattern of subcellular","myoblast, Mental Retardation, myoblast is composed, protein, composed, single protein","Remarkable conclusions Research, Research on FMR, tissues including human, including human foetuses, mouse embryonic stem, conclusions Research"
PMC29081_plagiated.xml,"express modifier genes, pressure-induced cell death, death are identified, ipd and isa, isa mutations, strains that express","high mortality rate, Glaucoma, poorly understood, mortality rate, mice, IOP","ill-fated animal control, disease involving iris, involving iris stromal, iris stromal atrophy, Remarkable conclusions, glaucoma in aged"
PMC29083_plagiated.xml,"examine the presence, presence of sarcospan, potential gene, probable, gene, muscular abnormalities","human body, senescent cell found, transcription factor, type of senescent, senescent cell, high turnover rate","Remarkable conclusions Sarcospan, DNA sequence analysis, protein immunofluorescence results, conclusions Sarcospan, confirmed by DNA, DNA sequence"
PMC29085_plagiated.xml,"mapped to Chromosome, Chromosome, gene, curly tail, mapped, mouse mutations","actin Capping, mouse actin Capping, Capping, actin Capping protein, Capping protein, Capping protein beta","mapped to Chromosome, Remarkable conclusions, Chromosome, gene, curly tail, Remarkable"
PMC29086_plagiated.xml,"characterised and localised, Ctns, homologue of CTNS, murine homologue, cystinosis, identified","gene, gene gene interval, gene responsible, gene encodes, gene gene, cancer research","distinct expression pattern, humans and mice, Remarkable conclusions, nephropathic cystinosis, murine homologue, mouse models"
PMC29087_plagiated.xml,"improve our understanding, cholerae ecology, ecology and epidemiology, dose affects virulence, modeling, prevalence of infection","Cholera, cholera outbreaks, water, outbreak, model, dynamics","requires significant attention, basic model proposed, complex system, cholera theory, theory that incorporates, requires significant"
PMC29088_plagiated.xml,"semicatenated DNA junction, revealed that Form, research has revealed, loop with semicatenated, highest affinity, DNA loop","DNA, direct binding, semicatenated DNA, heterodimer, binding, proteins","semicatenated DNA junction, identified Form, DNA loop, semicatenated DNA, DNA junction, interacting DNA"
PMC29089_plagiated.xml,"generating cDNA clone, fast and easy, generating cDNA, cDNA clone, fast, recombination","human genome, human, human traits, important source, cDNA sequence, full-length cDNA sequence","Remarkable conclusions Essentially, partial genomic oligosaccherogens, low abundance genes, follow PCR-based procedure, cloning full length, full length cDNA"
PMC29092_plagiated.xml,"stop codon contexts, downstream stop codon, interpretations of readthrough, codon contexts, upstream and downstream, mouse cells","UAG, CAA UAG CAUA, mammalian cells, sequence CAA UAG, cell-cell interactions including, cells","stop codon contexts, multiple signals involved, translational machinery related, downstream stop codon, Remarkable conclusions, codon contexts"
PMC29094_plagiated.xml,"Japanese population, marker and AITD, current findings, support an association, microsatellite marker, AITD","autoimmune thyroid disorders, autoimmune thyroid disease, autoimmune thyroid, thyroid disorders, thyroid disease, thyroid","broader patient populations, multiple allleles suggest, SER gene, Remarkable conclusions, region and AITDs, results may reflect"
PMC29096_plagiated.xml,"peripheral lymphocytes' dopamine, lymphocytes' dopamine receptors, receptors are reactive, subgrouping of schizophrenis, peripheral lymphocytes', lymphocytes' dopamine","dopamine receptors, nervous system, peripheral dopamine receptor, dopamine receptor expression, peripheral nervous system, systems including reward","peripheral lymphocytes' molecular, lymphocytes' molecular biologically-determined, molecular biologically-determined dopamine, biologically-determined dopamine receptors, taking antipsychotics, peripheral lymphocytes'"
PMC29097_plagiated.xml,"viral transmembrane fusion, transmembrane fusion proteins, virus families, development of'superfluid, viruses or superfamily, superfamily members","common ancestor, field of virology, understand the evolution, common RNA virus, RNA virus ancestor, viruses","Remarkable conclusions Due, common viral ancestor, conclusions Due, Arenavirus found, Remarkable conclusions, viral ancestor"
PMC29098_plagiated.xml,"patients with diabetes, association between hyperglycaemia, increased risk, risk of allograft, allograft rejection, rejection is consistent","renal failure, renal, sex and BMI, failure, patients, type","conclusions Early hyperglycaemia, Remarkable conclusions Early, Remarkable conclusions, shown to increase, Early hyperglycaemia, conclusions Early"
PMC29101_plagiated.xml,"visual motion responses, Reichardt model, inhibitory pathways, motion detection, computation of visual, responses is dependent","fly motion vision, motion vision, nervous system GABAergic, GABAergic pathways, Cholinergic and GABAergic, Gastric mucosal epithelial","Remarkable conclusions Identifying, conclusions Identifying elements, conclusions Identifying, Identifying elements, fly motion pathway, Remarkable conclusions"
PMC30704_plagiated.xml,"pathogenic germline alterations, E-cadherin locus, loss of heterozygosity, revealed no pathogenic, germline alterations, familial breast cancer","breast cancer, E-cadherin, breast, E-cadherin alterations, cancer, E-cadherin germline mutation","previous reports indicating, improved phenotypic divergence, mutation in E-cadherin, leading to improved, divergence and prognosis, cancer cells"
PMC30706_plagiated.xml,"sequence profile searches, multiple protein families, biologically relevant proteins, profile searches, oxygenase fold, eukaryotes and bacteria","repair DNA damage, DNA, DNA repair, genus Alcespora, DNA damage, cleaving DNA molecules","Remarkable conclusions Prior, conclusions Prior, biochemical studies, active-site residues, Remarkable conclusions, structure determination"
PMC30707_plagiated.xml,"Droophile genome project, complements the Droophile, Droophile genome, unique brain library, genomic sequence, examining this unique","cell division, gene expression profiles, brain, gene expression, adult brain, cell","Remarkable conclusions, brain, Drosophila brain, Drosophila, Drosophila brain library, adult Drosophila"
PMC30708_plagiated.xml,"comprehensive knowledge base, proteomic data, cohesin complex, combining genomic, genomic and proteomic, formulated a comprehensive","cohesin complex, complex, proteins, complex called cohesin, cochlear, synthesis and degradation","combined existing genomic, Remarkable conclusions, cohesin complex, conclusions To gain, gain insight, combined existing"
PMC30711_plagiated.xml,"Rheumatoid arthritis, hypothalamic-pituitary underactivity, administered and treated, drugs are administered, Rheumatoid, underactivity","Introduction Diarrhoea, inflammatory arthritis, Diarrhoea, IRA, arthritis, DHEAS concentrations","conducted a controlled, controlled study, secretion is similarly, Spa, DHEAS secretion, UIA"
PMC30712_plagiated.xml,"represented genes displays, reactive arthritis, repertoire is biased, clonal expansion, panel of represented, displays different characteristics","heavy chain segment, heavy chain variable, heavy chain, chain variable segment, chain segment, light chain segment","active immune reaction, triggers an active, active immune, immune reaction, reaction that leads, formation"
PMC30714_plagiated.xml,"MODs and ECI, blood glucose, linked to SRH, significantly linked, strongly linked, strict control","multiple sclerosis, multiple sclerosis syndrome, sclerosis, multiple organ dysfunction, multiple, include multiple organ","glucose clamp method, related hormone levels, acutely ill septic, exhibit significant correlation, blood stress related, stress related hormone"
PMC30715_plagiated.xml,"require tertiary critical, tertiary critical care, rural intensive-care unit, hospital rural intensive-care, ICU services, patients who require","tertiary intensive care, acute myeloid leukemia, patients transferred, transferred to tertiary, tertiary intensive, intensive care","tertiary critical care, TERTS ICU, differences in access, rural area, access to tertiary, tertiary critical"
PMC31330_plagiated.xml,"stimulus-dependent serine phosphorylation, eukaryotic histidine kinase, histidine kinase homologue, homologue was observed, vivo demonstration, stimulus-dependent serine","body temperature rises, body body temperature, body response, temperature rises, body, body temperature","eukaryotic homologue DokA, Remarkable conclusions, homologue DokA, vivo under stress, conclusions The serine, serine phosphorylation"
PMC31332_plagiated.xml,"SERCA pumping ability, initial functional indication, enhancement of SERCA, SERCA pumping, pumping ability, stressed cells","Charles River Laboratories, Endoplasmic Reticulum Overload, expression of genes, important topic, regulated by chronic, stress test","signaling SERCA activity, SERP activity resulting, signaling SERCA, UPR pathway, Remarkable conclusions, increase in SERP"
PMC31333_plagiated.xml,"considered positive selection, reverse transcriptase, previous methods, selection mapping, understand the mutational, mutational landscapes","genetic structure, highly conserved, self-replicate and spread, viral, identify positive candidates, viruses","positively selected mutations, sequence data, developed an algorithm, quasispecies using sequence, mapping targeting viral, positive selected variants"
PMC31334_plagiated.xml,"liver cells stimulated, revealed that DAG, DAG signaling, Recent research, thyroid hormone, research has revealed","protein synthesis, thyroid gland, thyroid, Anemia Thyroid hormone, thyroid hormone, Thyroid cancer Cervical","DAG and PKC, polyphosphates by PLC, PLC and activates, activates DAG, PKC activation, Remarkable conclusions"
PMC31335_plagiated.xml,"tail bud mesenchyme, GABA signaling activity, multiple differentiated tissues, proliferating stem cell, stem cell populations, produce multiple differentiated","glutamine decarboxylase gene, decarboxylase gene, non-neural tissues including, transmembrane protein, multiple non-neural tissues, glutamate decarboxylase","tail bud mesenchyme, vibrissal placodes, Remarkable conclusions, kDa isoform, glutamate decarboxylase, pharyngeal arches"
PMC31336_plagiated.xml,"upstream sequence, movement of ALMs, sequence was titrating, titrating a DNA-binding, proper movement, DNA-binding factor","synthetic DNA repair, DNA repair, DNA repair systems, DNA repair molecule, DNA, synthetic DNA","axial guidance defects, specific sequence downstream, Remarkable conclusions, guidance defects, conclusions The experiments, experiments presented"
PMC31337_plagiated.xml,"findings support morphogenic, support morphogenic mechanisms, extracellular matrix components, death or atrophy, findings support, support morphogenic","iliac crest, mouse anterior chamber, anterior chamber angle, iliac crest level, crest, iliac","iridocorneal angle development, extracellular matrix components, Remarkable conclusions, death or atrophy, conclusions This study, study provides support"
PMC31338_plagiated.xml,"ECFP reporter strains, detecting lacZ expression, EYFP and ECFP, ECFP reporter, reporter lines, effective in detecting","transposable elements, ECFP reporter strains, reporter strains, past decade, reporter, EYFP and ECFP","cDNAs of EYFP, EYFP or ECFP-expressing, Remarkable conclusions, ECFP-expressing cells, lacZ expression, conclusions By targeting"
PMC31339_plagiated.xml,"embryonic SMG epithelial, SMG epithelial cells, embryonic SMG, SMG epithelial, anti-apoptotic properties, study demonstrates","salivary gland, salivary gland secretions, submandibular gland, gland, elongated gland located, salivary","embryonic SMG ductal, mediate the anti-appetitosity, pro-survival signal, embryonic SMG, SMG ductal, Remarkable conclusions"
PMC31341_plagiated.xml,"lens placode cells, accumulation of MARCKS, processes is observed, curved neural plates, apical region, lens placode","highly mobile, highly, mobile, neurodegenerative disorders, marabots, CNS","lens placode cells, resulting lens vesicle, Remarkable conclusions, placode cells, equidistant scaffold, lens vesicle"
PMC31342_plagiated.xml,"numerous experimental possibilities, investigate calcium transients, building the eggshell, transients during fertilization, numerous experimental, possibilities are presented","Introduction Calcium dynamics, Calcium dynamics, calcium flux, fertilization-induced calcium dynamics, studied for decades, highly complex","Measuring fertilization-induced calcium, fertilization-induced calcium transients, Measuring fertilization-induced, studying C. elegans, experimental technique, technique for studying"
PMC31344_plagiated.xml,"GAL genes, downstream targets, targets of signaling, glucose repression, regulation of glucose, signaling for glucose","glucose, glucose repression, SCC glucose metabolism, role of S-adenosylmethionine, glucose metabolism, Yeast Saccharomyces cerevisiae","Remarkable conclusions, responsible for recruiting, GAL genes, complex, Remarkable, results"
PMC31347_plagiated.xml,"genuine transcriptional activator, transcriptional activator, genuine transcriptional, transcriptal regulatory proteins, activator, regulatory proteins","NFATp protein, large intracellular protein, NFATp, protein, proteins, NFAT proteins","true transcriptional activator, central DNA binding, DNA binding domain, human NFATp functions, binding domain required, requires additional regions"
PMC31348_plagiated.xml,"levels of plasma, zymosan particles, plasma proteins, proteins from mussel, mussel M. galloprovincialis, galloprovincialis and oyster","peroxynitrite, nitric oxide, PMA or LPS, presence, proteins, nitric","newly developed C-ELISA, developed C-ELISA method, zymosan particle, newly developed, determine the levels, single animal"
PMC31349_plagiated.xml,"secondary lymphoid organs, human secondary lymphoid, lymphoid organs, human secondary, secondary lymphoid, chronic pathogen stimulation","blood vessel found, small blood vessel, upper part, blood vessel, cells, vessel found","tumor reactive lymphnodes, control lymph nodes, human control lymph, Remarkable conclusions, reactive lymphnodes, conclusions T lymphocytes"
PMC31370_plagiated.xml,"basal transcription factors, cell differentiation requires, appropriately timed proteolysis, proteolysis of TBP, suggest that normal, cell differentiation","journal Cancer Research, human breast cancer, breast cancer cell, cancer cell lines, Cancer Research, breast cancer","basal transcription machinery, Remarkable conclusions, physiological stimulus, essential role, conclusions We show, time that components"
PMC31411_plagiated.xml,"independent Bacilles strains, Bacilles strains typed, including allele length, tandem repeat arrays, bacterial genomes studied, polymorphism yielded dozens","genus Listeria monocytogenes, tandem repeats, coli strain isolates, tandem repeats database, genus Pseudomonas aeruginosa, human isolates","agarose gel electrophoresis, repeat units longer, Remarkable conclusions, work and nomenclature, gel electrophoresis, conclusions The focus"
PMC31431_plagiated.xml,"Quinpirole induces non-irrepressible, non-irrepressible checking behavior, induces non-irrepressible checking, Quinpirole induces, induces non-irrepressible, checking behavior","CCB Compulsive checking, Compulsive Checking Behavior, call Compulsive Checking, model of OCD, OCD, CCB","compulsive behavior induced, quinpirole in OCD, OCD patients, Remarkable conclusions, induced by quinpirole, compulsive behavior"
PMC31433_plagiated.xml,"taste receptor expressed, transducing bitter taste, primary type, receptor expressed, cells and plays, plays a crucial","Type III, taste, Bitter taste transduction, Bitter taste, receptor, taste transduction","sweet taste transduction, Remarkable conclusions, secondary factor, taste cells, conclusions The main, main finding"
PMC31479_plagiated.xml,"driving force, force behind codon, codon usage, amyotrophic acid usage, poorly characterized organism, opposite","composition, recent genomic research, central focus, focus of recent, codon, usage","codon usage, codon, Remarkable conclusions, primarily influenced, proxy for biases, amino acids"
PMC31481_plagiated.xml,"quantitative functional analysis, store functional systems, functional systems knowledge, multidisciplinary language, functional analysis, computer and internet","biological system, visual system, biological system includes, system, describing complex biological, biological","comprehensive biological descriptive, fields' schematic diagramming, biological descriptive language, schematic diagramming languages, Remarkable conclusions, functional bioinformatics"
PMC31482_plagiated.xml,"coli Art system, AhrC recognition signal, candidate arginine regulons, orthologous transcription factors, Art system, coli Art","insoluble binding site, binding site, arginine repressor, primary function, prevent the formation, CWM","composition of ARG, ARG regulons, species-specific paralogs, degradation and species-specific, additional ARB boxes, ancient regulon found"
PMC31580_plagiated.xml,"preferential pulmonary vasoconstriction, persistent fetal circulation, enhancing cardiac output, increases portal flow, total hepatic flow, output during hypoxia","main excitatory neurotransmitter, excitatory neurotransmitter, main excitatory, blood pressure, Introduction Dopamine, neurotransmitter","severe alveolar hypoxia, controls pulmonary vasoconstriction, total hepatic flow, blood cell volume, epinephrine increases cardiac, dopaine increases sucrose"
PMC31918_plagiated.xml,"Arabidopsis forminis suggests, plant formins exists, separate subfamily called, subfamily called plant, called plant formins, transmembrane protein sequence","plant formins, plant, proteins, plants, protein strands, plant forMIN genes","genes encoding proteins, conclusions The Arabidopsis, Arabidopsis genomic, Remarkable conclusions, analyzed in detail, genomic and cDNA"
PMC31925_plagiated.xml,"common amino acid, cell adhesion, common amino, amino acid, potential to regulate, regulate processes","enzyme prostaglandin synthesis, tryptophan, tryptophan catabolizing enzyme, catabolizing enzyme prostaglandin, prostaglandin synthesis, cell adhesion","Remarkable conclusions IDO, conclusions IDO regulates, normal growth substrates, conclusions IDO, IDO regulates, Remarkable conclusions"
PMC32158_plagiated.xml,"quantitative PCR assay, rumen microbial communities, rRNA hybridization probes, newly identified methanogen, identified methanogen clusters, hybridization probes targeting","bovine rumen, reservoir for methanogens, bovine, methanogens, rumen, diverse collection","Remarkable conclusions Phylogenetic, conclusions Phylogenetic diversity, set-up sequences developed, groups expressed differently, conclusions Phylogenetic, Phylogenetic diversity"
PMC32163_plagiated.xml,"childhood B-cell precursor, genetic polymorphisms studied, childhood B-cell, B-cell precursor, treated with BFM, BFM protocols","Tumor necrosis factor, acute lymphoblastic leukemia, immune cells, immune response, Tumor necrosis, factor and lymphotoxin-alpha","TNF gene polymorphism, matched case-control group, gene polymorphism, TNF gene, conclusions The TNF, Remarkable conclusions"
