file,abstract,introduction,conclusion
PMC29065_plagiated.xml,"gene, transfer, data, remarkable, specialized, method","gene, delivery, cell, system, device, rat","gene, delivery, cell, system, device, rat"
PMC29066_plagiated.xml,"study, cell, projection, remarkable, react, raise","endothelial, cell, resveratrol, expression, change, bovine","endothelial, cell, resveratrol, expression, change, bovine"
PMC29067_plagiated.xml,"may, oligomery, region, located, mechanism, molecular","muscle, patient, dystrophy, total, dystrophin, study","muscle, patient, dystrophy, total, dystrophin, study"
PMC29068_plagiated.xml,"provide, mouse, undergoing, treatment, structure, result","bone, cell, marrow, structure, precursor, type","bone, cell, marrow, structure, precursor, type"
PMC29073_plagiated.xml,"envelope, protein, significance, provides, related, remarkable","contact, contaminated, spread, virus, surface, also","contact, contaminated, spread, baculovirus, insect, also"
PMC29077_plagiated.xml,"type, expression, fiber, muscle, restricted, skeletal","type, fiber, muscle, expression, gene, mouse","type, fiber, muscle, gene, expression, mouse"
PMC29079_plagiated.xml,"receptor, stationary, release, regulation, regulate, riboflaser","ribosome, strain, functional, pancreas, regulation, protein","ribosome, strain, functional, pancreas, regulation, protein"
PMC29080_plagiated.xml,"cell, nuclear, protein, process, observed, provides","protein, myoblast, different, composed, part, distinct","protein, myoblast, different, composed, part, distinct"
PMC29081_plagiated.xml,"mouse, remarkable, retina, mechanism, modifier, natural","glaucoma, mouse, damage, disease, iop, loss","mouse, glaucoma, disease, damage, iop, loss"
PMC29083_plagiated.xml,"outside, localization, sequence, sarcosphemy, sarcospan, role","protein, cell, sarcospan, human, associated, found","protein, cell, sarcospan, human, associated, found"
PMC29085_plagiated.xml,"gene, mutation, mapped, vicinity, three, tail","actin, capping, gene, cell, protein, expression","actin, capping, gene, cell, protein, expression"
PMC29086_plagiated.xml,"human, mouse, ctns, pattern, murine, nephropathic","gene, mutation, cell, cystinosis, growth, condition","gene, mutation, cell, cystinosis, growth, condition"
PMC29087_plagiated.xml,"estimate, dose, work, environmental, understanding, infection","cholera, water, outbreak, model, population, community","cholera, water, outbreak, model, population, community"
PMC29088_plagiated.xml,"dna, remarkable, semicatenated, nucleus, one, order","dna, protein, complex, heterodimer, binding, genome","dna, protein, complex, heterodimer, binding, genome"
PMC29089_plagiated.xml,"produced, rapid, length, low, many, oligosaccherogens","human, sequence, cdna, clone, genome, evolution","human, sequence, cdna, clone, genome, evolution"
PMC29092_plagiated.xml,"multiple, may, translational, stop, signal, show","cell, uag, factor, codon, termination, translation","cell, codon, factor, uag, termination, translation"
PMC29094_plagiated.xml,"gene, patient, population, polynomial, polymorphism, reflect","thyroid, autoimmune, er, disease, variant, polymorphism","thyroid, autoimmune, er, disease, polymorphism, variant"
PMC29096_plagiated.xml,"antipsychotic, demonstrated, dopamine, lymphocyte, molecular, peripheral","receptor, dopamine, schizophrenia, peripheral, study, system","receptor, dopamine, schizophrenia, peripheral, study, system"
PMC29097_plagiated.xml,"sequence, virus, applicable, area, agent, study","virus, model, common, ancestor, region, arenavirus","virus, model, common, ancestor, region, arenavirus"
PMC29098_plagiated.xml,"rejection, early, highly, risk, also, remarkable","patient, renal, failure, diabetes, type, risk","patient, renal, failure, diabetes, type, risk"
PMC29101_plagiated.xml,"motion, cell, cellular, fly, pathway, proposed","fly, motion, gabaergic, pathway, cholinergic, cell","fly, motion, gabaergic, pathway, cholinergic, cell"
PMC30704_plagiated.xml,"cancer, process, reaction, may, metastatic, mutation","cancer, breast, mutation, family, patient, tumour","cancer, breast, mutation, family, patient, germline"
PMC30706_plagiated.xml,"sequence, fold, protein, study, mechanism, structural","dna, protein, repair, leprecan, known, important","dna, protein, repair, leprecan, known, important"
PMC30707_plagiated.xml,"brain, genome, library, drosophila, annotation, sequence","brain, gene, adult, cell, expression, function","brain, gene, adult, expression, cell, transcript"
PMC30708_plagiated.xml,"protein, network, sequence, region, relationship, may","protein, complex, cochlear, cochleal, cohesin, cell","protein, complex, cochlear, cochleal, cohesin, cell"
PMC30711_plagiated.xml,"found, patient, reduced, dheas, similarly, previous","study, patient, ira, inflammatory, arthritis, concentration","study, ira, patient, inflammatory, arthritis, treatment"
PMC30712_plagiated.xml,"gene, cell, represented, sm, mutated, panel","gene, segment, chain, heavy, b, cell","gene, segment, chain, heavy, b, cell"
PMC30714_plagiated.xml,"glucose, cell, patient, otc, protein, possibly","multiple, sclerosis, syndrome, glucose, dysfunction, patient","multiple, sclerosis, syndrome, glucose, dysfunction, patient"
PMC30715_plagiated.xml,"significant, study, survival, region, rural, impact","patient, care, effect, tertiary, transfer, survival","patient, care, effect, tertiary, transfer, survival"
PMC31330_plagiated.xml,"system, may, process, remarkable, involved, kinase","body, o, doka, kinase, histidine, condition","body, o, doka, kinase, histidine, condition"
PMC31332_plagiated.xml,"activity, increase, er, reported, recent, resulting","stress, cell, compartment, er, test, study","stress, cell, compartment, er, test, study"
PMC31333_plagiated.xml,"hiv, mapping, example, used, selected, different","viral, virus, author, also, ha, used","viral, virus, disease, author, identify, ha"
PMC31334_plagiated.xml,"cell, receptor, revealed, plc, pld, polyphosphate","thyroid, hormone, cell, accumulation, pkc, gland","thyroid, hormone, cell, dag, gland, action"
PMC31335_plagiated.xml,"expression, bud, rise, occurs, pharyngeal, placodes","glutamate, gene, decarboxylase, tissue, development, gadc","glutamate, gene, decarboxylase, tissue, development, gadc"
PMC31336_plagiated.xml,"sequence, copy, factor, regulate, migration, receptor","cell, migration, dna, protein, system, repair","cell, migration, dna, protein, system, repair"
PMC31337_plagiated.xml,"mouse, factor, cell, strain, study, observed","angle, cell, crest, iliac, anterior, development","cell, angle, crest, iliac, anterior, pelvis"
PMC31338_plagiated.xml,"lacz, function, targeting, reporter, remarkable, line","strain, reporter, locus, express, eyfp, lacz","strain, reporter, locus, express, eyfp, lacz"
PMC31339_plagiated.xml,"formation, lumen, mediate, proacinar, protein, remarkable","gland, salivary, secretion, submandibular, embryonic, response","gland, salivary, secretion, submandibular, embryonic, response"
PMC31341_plagiated.xml,"neural, lens, new, protein, marcks, proximity","cell, highly, actin, marabots, protein, marc","cell, highly, actin, marabots, protein, marc"
PMC31342_plagiated.xml,"calcium, defect, step, technique, novel, protein","elegans, calcium, dynamic, study, flux, solution","elegans, calcium, dynamic, study, flux, solution"
PMC31344_plagiated.xml,"reapression, likely, suggests, study, result, responsible","glucose, gene, repression, cerevisiae, role, metabolism","glucose, gene, repression, cerevisiae, role, metabolism"
PMC31347_plagiated.xml,"dna, region, using, template, transcription, investigation","protein, nfatp, activation, cell, region, nuclear","protein, activation, nfatp, cell, region, nfat"
PMC31348_plagiated.xml,"method, protein, remains, mussel, newly, oyster","peroxynitrite, protein, presence, haemocytes, nitric, found","peroxynitrite, protein, presence, haemocytes, nitric, found"
PMC31349_plagiated.xml,"cell, lymph, layer, result, structure, predominantly","cell, found, node, tumor, tonsil, gc","cell, found, node, tumor, tonsil, gc"
PMC31370_plagiated.xml,"cell, response, promotes, proteolysis, radional, regulated","cell, role, cancer, play, yeast, study","cell, role, cancer, yeast, protein, study"
PMC31411_plagiated.xml,"allele, repeat, tandem, sequencing, size, specie","repeat, tandem, isolates, anthracis, genus, strain","repeat, tandem, isolates, anthracis, genus, strain"
PMC31431_plagiated.xml,"behavior, result, similar, presence, quinchrillarilla, quinpirole","rat, ocd, ccb, checking, behavior, patient","rat, ocd, checking, ccb, behavior, quinpirole"
PMC31433_plagiated.xml,"taste, receptor, main, sweet, study, seems","taste, receptor, bitter, cell, transduction, study","taste, receptor, bitter, cell, transduction, subunit"
PMC31479_plagiated.xml,"codon, model, composition, sequence, usage, gc","codon, usage, composition, genome, gene, gc","usage, codon, composition, genome, gene, gc"
PMC31481_plagiated.xml,"language, model, proposal, network, prototype, propose","system, visual, biological, shape, information, complex","system, visual, biological, shape, information, complex"
PMC31482_plagiated.xml,"site, regulator, may, cooperative, among, seem","site, arginine, protein, repressor, cwm, bacterial","site, arginine, protein, repressor, cwm, bacterial"
PMC31580_plagiated.xml,"newborn, increase, severe, piglet, portal, pulmonary","dopamine, hypoxic, epinephrine, pig, regulation, pressure","dopamine, hypoxic, epinephrine, pig, regulation, pressure"
PMC31918_plagiated.xml,"protein, eight, localization, may, membrane, new","plant, protein, structure, cell, formins, result","protein, plant, structure, cell, formins, formin"
PMC31925_plagiated.xml,"cell, expression, pge, raw, lower, mmps","cell, tryptophan, ido, enzyme, prostaglandin, adhesion","cell, tryptophan, ido, enzyme, prostaglandin, adhesion"
PMC32158_plagiated.xml,"group, developed, revealed, result, remarkable, rutininium","methanogen, bovine, rumen, reservoir, produced, body","methanogen, bovine, rumen, reservoir, produced, body"
PMC32163_plagiated.xml,"gene, pg, polymorphism, risk, position, precursor","child, number, cytokine, study, lymphoblastic, acute","child, tnf, immune, study, disease, acute"
PMC32169_plagiated.xml,"mouse, roy, signal, oncobacteria, oncology, pathway","curcumin, cancer, breast, cell, study, derived","curcumin, cancer, breast, cell, study, derived"
PMC32170_plagiated.xml,"dna, type, different, showed, thus, patient","human, hpv, virus, type, tumor, papillomavirus","human, hpv, virus, type, tumor, papillomavirus"
PMC32172_plagiated.xml,"risk, patient, spare, reduce, remarkable, serious","bleeding, perforation, product, patient, use, aspirin","bleeding, perforation, product, aspirin, patient, use"
PMC32173_plagiated.xml,"hair, indicates, type, slightly, significantly, sample","hair, drug, analysis, data, used, statistical","hair, analysis, drug, data, used, statistical"
PMC32174_plagiated.xml,"care, hospital, patient, poor, phi, practical","patient, record, care, treatment, held, improving","patient, record, care, treatment, held, improving"
PMC32180_plagiated.xml,"human, hypothesize, surface, role, resorption, play","colorectal, development, protein, expression, two, could","colorectal, expression, protein, development, used, determine"
PMC32181_plagiated.xml,"membrane, remarkable, sum, massive, molecule, nucleotide","cell, maitotoxin, death, found, food, toxin","cell, maitotoxin, death, found, food, toxin"
PMC32182_plagiated.xml,"target, tempting, remarkable, rf, speculate, member","cell, type, channel, ion, various, maec","cell, type, channel, ion, various, maec"
PMC32183_plagiated.xml,"cell, role, model, play, problem, presented","cell, system, expression, tss, astrocyte, brain","cell, system, expression, tss, astrocyte, brain"
PMC32187_plagiated.xml,"lab, gene, indirect, target, propose, many","gene, transcription, factor, kinase, cellular, homeodomain","gene, transcription, factor, kinase, cellular, homeodomain"
PMC32188_plagiated.xml,"gene, family, organism, orthologous, level, metazoan","gene, eukaryotic, region, specific, restricted, bilateria","gene, eukaryotic, region, specific, restricted, bilateria"
PMC32189_plagiated.xml,"human, protein, level, like, method, mouse","human, gene, gcnf, mouse, california, different","human, gene, gcnf, mouse, function, found"
PMC32191_plagiated.xml,"policy, achieve, effective, antibiotic, content, range","practice, antimicrobial, prescribing, review, resistance, use","practice, antimicrobial, prescribing, resistance, review, use"
PMC32193_plagiated.xml,"ethic, health, clinical, ethical, development, issue","ethic, clinical, research, medical, teaching, ethical","ethic, clinical, research, medical, teaching, ethical"
PMC32195_plagiated.xml,"moral, fraught, technology, screening, opinion, new","screening, genetic, risk, woman, disease, antenatal","screening, genetic, risk, woman, diagnostic, antenatal"
PMC32196_plagiated.xml,"odds, study, rsai, similar, reported, rrilometer","cancer, per, subject, chinese, national, author","cancer, per, chinese, national, author, subject"
PMC32197_plagiated.xml,"nuclear, increase, result, presence, previously, primarily","phosphatase, serine, receptor, study, gr, binding","phosphatase, serine, study, receptor, gr, protein"
PMC32199_plagiated.xml,"fixt, asno, may, function, activity, fixl","protein, many, present, family, known, foodstuff","protein, present, many, known, foodstuff, regulatory"
PMC32204_plagiated.xml,"patient, genetic, risk, show, postoperative, predisposition","risk, patient, study, high, postoperative, factor","risk, patient, postoperative, study, high, factor"
PMC32206_plagiated.xml,"toxic, pe, remarkable, stimulant, pentachlorophenol, pneumoniae","used, grown, specie, leaf, common, organism","used, grown, specie, leaf, common, organism"
PMC32208_plagiated.xml,"patient, result, seems, predict, provide, molecular","infection, cmv, recipient, disease, transplant, liver","infection, cmv, recipient, disease, transplant, liver"
PMC32247_plagiated.xml,"infection, patient, diarrhea, still, stool, prevalent","increasing, incidence, parasite, infection, intestinal, thailand","increasing, incidence, parasite, infection, intestinal, thailand"
PMC32248_plagiated.xml,"assembly, mutation, reduced, side, mostly, mutant","ftsz, mutation, transcription, factor, study, number","ftsz, mutation, transcription, factor, study, number"
PMC32250_plagiated.xml,"reactive, polymorphism, whether, volunteer, unanswered, thrombocytosis","blood, platelet, measure, stream, number, pc","blood, platelet, measure, stream, number, pc"
PMC32296_plagiated.xml,"matter, white, may, geometry, reconstruction, peripheral","growth, spinal, injury, cord, axonal, white","growth, spinal, injury, cord, axonal, white"
PMC32297_plagiated.xml,"matter, inhibitory, remarkable, orienting, neurite, myelin","myelin, growth, parallel, white, neuron, protein","myelin, growth, parallel, white, neuron, form"
PMC32299_plagiated.xml,"cell, remarkable, showed, mammalian, measurement, mouse","calcium, plasma, matrix, extracellular, concentration, cell","calcium, plasma, extracellular, concentration, matrix, cell"
PMC32302_plagiated.xml,"worker, training, alternative, client, ipcs, contraceptive","dmpa, study, effect, use, depot, acetate","dmpa, study, effect, use, depot, acetate"
PMC32303_plagiated.xml,"guideline, remarkable, reporting, potential, prioritize, public","conflict, interest, health, guideline, patient, crucial","conflict, interest, health, guideline, patient, crucial"
PMC32304_plagiated.xml,"method, report, reveals, potential, predation, provides","receptor, acid, human, retinoic, ra, mouse","receptor, acid, retinoic, human, ra, mouse"
PMC32311_plagiated.xml,"polymorphism, patient, schizophrenia, research, repeat, remarkable","gene, schizophrenia, human, family, polymorphism, study","gene, schizophrenia, human, family, repeat, role"
PMC32312_plagiated.xml,"brain, function, restrictive, selection, reduction, refinement","brain, area, cortex, patient, acc, study","brain, area, cortex, patient, acc, study"
PMC32313_plagiated.xml,"pathway, activation, multiple, observed, mutation, mobilization","btk, cell, b, kinase, immune, response","btk, b, cell, kinase, role, response"
PMC33341_plagiated.xml,"internal, mobility, ntp, indicate, mediator, finding","hyperglycemia, induced, glucose, cell, protein, stress","hyperglycemia, glucose, induced, protein, mechanism, cell"
PMC33342_plagiated.xml,"woman, penis, satisfaction, survey, penisse, physiological","sexual, size, female, survey, prevalence, conducted","sexual, size, female, survey, prevalence, conducted"
PMC33343_plagiated.xml,"antibody, present, however, known, likely, physician","prevalence, autoantibody, hepatitis, hcs, c, study","prevalence, autoantibody, hepatitis, hcs, c, study"
PMC33344_plagiated.xml,"sp, revealed, significantly, likely, live, oregon","receptor, sp, phenylpropanediol, probe, fluorescent, green","receptor, sp, phenylpropanediol, used, green, fluorescent"
PMC33392_plagiated.xml,"human, gene, genomic, pcr, phase, protein","gene, protein, cell, encodes, expressed, human","gene, protein, expressed, human, cell, encodes"
PMC33394_plagiated.xml,"disorder, human, olfactory, odorant, polymorphism, or","gene, receptor, cannabinoids, olfactory, system, sequence","gene, receptor, cannabinoids, human, sequence, role"
PMC33396_plagiated.xml,"gene, genomic, measure, may, organism, however","gene, order, goc, evolution, conservation, genome","gene, order, goc, evolution, conservation, genome"
PMC33507_plagiated.xml,"mutation, strain, region, result, pnca, pncaa","mutation, clinical, pnca, tuberculosis, mycobacterium, isolates","mutation, clinical, pnca, tuberculosis, mycobacterium, isolates"
PMC33518_plagiated.xml,"injury, play, medical, modifying, needed, rate","population, disease, u, complication, adverse, care","population, disease, u, complication, adverse, care"
PMC33820_plagiated.xml,"molecule, motif, binding, provide, peptide, position","molecule, class, also, mhc, gene, binding","molecule, class, mhc, gene, also, binding"
PMC34102_plagiated.xml,"clinical, developed, could, tested, laboratory, general","ldl, formation, atherosclerosis, reaction, oxidation, pathway","ldl, formation, atherosclerosis, reaction, oxidation, oxidative"
PMC34107_plagiated.xml,"group, may, test, physician, procedure, population","patient, disease, ibs, clinical, study, intestinal","patient, ibs, clinical, disease, inflammation, intestinal"
PMC34110_plagiated.xml,"study, across, may, polymorphism, increased, larger","woman, cancer, breast, history, study, gene","woman, cancer, breast, study, history, higher"
PMC34111_plagiated.xml,"woman, ovarian, interpreted, lower, mortality, incidence","jewish, cancer, ashkenazi, woman, mortality, breast","jewish, cancer, ashkenazi, woman, mortality, study"
PMC34113_plagiated.xml,"survival, particulate, promoting, macrophaphaergic, may, molecule","microcrystals, inflammatory, synthesis, dna, lung, investigate","microcrystals, inflammatory, synthesis, dna, lung, investigate"
PMC34114_plagiated.xml,"dose, safe, safely, patient, per, placebo","treatment, study, active, controlled, patient, trial","treatment, study, active, controlled, patient, trial"
PMC34116_plagiated.xml,"high, increase, static, production, reactivity, remarkable","human, synoviocytes, platform, target, expressed, protein","human, synoviocytes, target, platform, expressed, protein"
PMC34117_plagiated.xml,"immune, cell, differentiation, system, regulate, regulation","igg, cell, mesenchymal, igm, immunoglobulin, decade","igg, cell, mesenchymal, igm, tissue, immunoglobulin"
PMC34514_plagiated.xml,"remarkable, people, suggests, suggesting, role, responsible","study, diabetes, disease, japanese, type, risk","study, diabetes, disease, gene, risk, japanese"
PMC34520_plagiated.xml,"gene, overexpression, rat, mraxrax, mrna, northern","cell, lung, gene, atpase, cancer, mitochondrial","cell, lung, gene, atpase, cancer, mitochondrial"
PMC34549_plagiated.xml,"muscle, disease, human, patient, muscular, mutation","protein, desmuslin, cell, gene, muscle, human","protein, desmuslin, cell, gene, muscle, human"
PMC34550_plagiated.xml,"cell, wall, similar, infection, presented, raise","resistant, vancomycin, pathogen, cephalosporin, trovafloxacin, development","resistant, vancomycin, pathogen, cephalosporin, trovafloxacin, development"
PMC34551_plagiated.xml,"scale, mind, kept, trustworthy, setting, research","scale, depression, study, translation, sensitive, standardized","scale, depression, study, translation, sensitive, standardized"
PMC34552_plagiated.xml,"gene, type, expression, younger, rat, one","fracture, healing, bone, rat, estrogen, formation","fracture, healing, bone, rat, estrogen, formation"
PMC34605_plagiated.xml,"baseline, result, percentage, data, method, change","method, trial, statistical, outcome, treatment, change","method, trial, outcome, statistical, treatment, change"
PMC34606_plagiated.xml,"development, disease, linked, found, xanthurenic, various","apoptosis, acid, pxa, clinical, mechanism, activity","apoptosis, acid, pxa, clinical, mechanism, activity"
PMC35267_plagiated.xml,"site, cap, analysis, mutation, mtase, mt","structure, genome, sequence, mgbn, human, information","structure, genome, sequence, mgbn, human, information"
PMC35277_plagiated.xml,"domain, directly, remarkable, nuclear, maintaining, localization","gene, cell, dna, disorder, blm, dnase","gene, cell, dna, disorder, blm, involved"
PMC35278_plagiated.xml,"domain, function, arabidopsis, kinesins, within, mutant","genome, arabidopsis, organism, plant, known, dna","genome, arabidopsis, organism, plant, known, dna"
PMC35279_plagiated.xml,"gene, protein, membrane, cell, brain, claudins","brain, protein, sequence, epithelial, membrane, cell","brain, protein, sequence, epithelial, membrane, mouse"
PMC35280_plagiated.xml,"mutation, point, caused, different, south, explain","mutation, study, carrier, positive, precore, core","mutation, study, carrier, positive, precore, core"
PMC35283_plagiated.xml,"lung, cancer, study, lesion, primary, prevention","cancer, lung, cell, cause, disease, marker","cancer, lung, cell, cause, disease, marker"
PMC35285_plagiated.xml,"space, data, binding, sequence, analysis, molecule","complex, p, sequence, space, two, molecule","complex, p, sequence, space, property, position"
PMC35286_plagiated.xml,"health, may, restriction, mobile, many, population","immigrant, outcome, highly, appendix, appendectomy, patient","immigrant, outcome, highly, appendix, appendectomy, patient"
PMC35352_plagiated.xml,"nuclear, porcine, recipient, provide, process, remarkable","used, cell, study, animal, stem, pluripotent","used, cell, study, animal, stem, pluripotent"
PMC35353_plagiated.xml,"presence, regarding, old, particularly, patient, phenotype","gene, number, fumarylacetoacetate, shown, cause, hydrolase","gene, shown, hydrolase, cause, number, fumarylacetoacetate"
PMC35354_plagiated.xml,"mouse, may, difference, demonstrated, indicate, male","heart, used, method, ecg, electrocardiogram, rate","heart, ecg, method, used, electrocardiogram, rate"
PMC35360_plagiated.xml,"significantly, structural, properly, protein, quality, reinforced","sequence, number, protein, class, determined, structure","sequence, number, protein, class, determined, structure"
PMC35361_plagiated.xml,"show, study, remarkable, richardson, selines, serine","serine, cell, gene, activity, phosphorylates, glycogen","cell, serine, gene, glycogen, transcriptional, activity"
PMC37242_plagiated.xml,"protein, role, study, fact, cell, process","receptor, regulation, expression, gene, kinase, extracellular","receptor, regulation, expression, gene, kinase, extracellular"
PMC37243_plagiated.xml,"neuron, gene, cell, precursor, three, protein","cell, neuron, notch, expression, neural, zebrafish","cell, neuron, notch, expression, neural, zebrafish"
PMC37310_plagiated.xml,"linked, gene, remarkable, retinopathy, polymorphism, present","apoe, diabetes, gene, patient, development, diabetic","apoe, diabetes, gene, patient, development, diabetic"
PMC37313_plagiated.xml,"case, syndrome, randomly, remarkable, regardless, selected","fluoride, water, study, syndrome, risk, supply","fluoride, water, study, syndrome, risk, supply"
PMC37314_plagiated.xml,"movement, charge, protocol, pore, remarkable, relatively","activation, kinase, pathway, complex, muscle, camk","activation, kinase, pathway, complex, muscle, camk"
PMC37351_plagiated.xml,"porcine, member, variation, using, typical, subfamily","growth, sequence, protein, factor, repeat, domain","growth, sequence, protein, factor, repeat, structure"
PMC37352_plagiated.xml,"may, inhibit, reduce, protein, phosphorylated, mrna","cell, communication, gap, significantly, growth, bone","cell, communication, gap, significantly, growth, bone"
PMC37353_plagiated.xml,"dc, population, report, marker, remarkable, immunophenotyping","dc, cell, majority, acquired, syndrome, immunodeficiency","dc, cell, majority, acquired, syndrome, immunodeficiency"
PMC37354_plagiated.xml,"dna, reverse, resource, rnaseh, rigorous, remarkable","dna, protein, substrate, rnaseh, p, viral","dna, protein, substrate, rnaseh, p, rna"
PMC37355_plagiated.xml,"interaction, structure, shown, remarkable, result, molecular","protein, family, amp, translation, dimer, domain","protein, family, amp, translation, dimer, domain"
PMC37356_plagiated.xml,"exposure, viral, may, relative, replication, remarkable","infection, difference, response, immune, study, human","infection, difference, response, immune, study, human"
PMC37391_plagiated.xml,"modification, regulate, modifier, neldelsäure, particular, pathway","gene, yeast, fission, involved, complex, cell","gene, yeast, fission, complex, cell, specific"
